assetCode,company,type,brand,model,serial,location,room,purchaseDate,status,warrantyExpirationDate,remark,imageUrl,updatedAt
TNB-IT-NET-26-003,TNB,NET,AIS FiberHome,AIS 3BB Fiber Wifi BE3600 HGU HG6142HT,GPON SN: FHTTC235D9BE,บางแสน เครื่องปริ้น konica bitzub c227,เครื่องปริ้น konica bitzub c227,2026-04-30,ใช้งาน,2028-04-30,หมายเลขอินเทอร์เน็ต : 8806816909 (อุปกรณ์เช่า),,
TNB-IT-NET-26-004,TNB,NET,AIS FiberHome,AIS 3BB Fiber Wifi BE3600 HGU HG6142HT,GPON SN: FHTTC235DA83,บางแสน,-,2026-04-30,เสีย,2028-04-30,หมายเลขอินเทอร์เน็ต : 8806816909 (อุปกรณ์เช่า) เปลี่ยนไปใช้ TNB-IT-NET-26-007,,
TNB-IT-NET-26-005,SPD,NET,AIS FiberHome,AIS 3BB Fiber Wifi BE3600 HGU HG6142HT,GPON SN: FHTTC235DA1F,บางแสน,-,2026-04-30,ใช้งาน,2028-04-30,SPD-BS SPDBS#9898 หมายเลขอินเทอร์เน็ต : 8806817068 (อุปกรณ์เช่า),,
TNB-IT-NET-26-006,SPD,NET,AIS FiberHome,AIS 3BB Fiber Wifi BE3600 HGU HG6142HT,GPON SN: FHTTC235DA75,บางแสน,-,2026-04-30,ไม่ระบุ,2028-04-30,หมายเลขอินเทอร์เน็ต : 8806817068 (อุปกรณ์เช่า),,
KOCH-IT-CAB-26-001,KOCH,Cable,8K HDTV CABLE,8K HDTV CABLE HD2.1V Premium High Speed HDTV CABLE,Appearance patent no: ZL202230178877.5,บางแสน ห้องประชุม,ห้องประชุม,-,ใช้งาน,-,,,
KOCH-IT-CAB-26-002,KOCH,Cable,Sun CAT6,Sun CAT6 OUTDOOR PE DOUBLE JACKET UTP ENHANCED CABLE,Packing No:0477042084104001,บางแสน ห้อง IT,ห้อง IT,-,ไม่ระบุ,-,,,
KOCH-IT-AD-26-001,KOCH,Adapter,Acer,LITE-ON PA-1650-02,S/N:879322733,บางแสน ห้อง IT,ห้อง IT,-,เสีย,-,,,
KOCH-IT-AP-26-008,KOCH,Access Point,TP-link,AX1800 Indoor/Outdoor Wi-Fi 6 Access Point EAP610-Outdoor,S/N: 225C09J000515,-,-,-,ไม่ระบุ,-,,,
KOCH-IT-AP-26-009,KOCH,Access Point,TP-link,AX1800 Indoor/Outdoor Wi-Fi 6 Access Point EAP610-Outdoor,S/N: 225C09J000523,-,-,-,ไม่ระบุ,-,,,
KOCH-IT-AP-26-010,KOCH,Access Point,TP-link,Wirless Bridge 5GHz Mbps Long-Range PtP for Indoor/Outdoor EAP215-Bridge KIT,S/N: 225B0EU003372,-,-,-,ไม่ระบุ,-,,,
KOCH-IT-AP-26-011,KOCH,Access Point,TP-link,Wirless Bridge 5GHz Mbps Long-Range PtP for Indoor/Outdoor EAP215-Bridge KIT,S/N: 225B0EU003157,-,-,-,ไม่ระบุ,-,,,
KOCH-IT-AP-26-012,KOCH,Access Point,TP-link,Wirless Bridge 5GHz Mbps Long-Range PtP for Indoor/Outdoor EAP215-Bridge KIT,S/N: 225B0EU001419,-,-,-,ไม่ระบุ,-,,,
KOCH-IT-AP-26-013,KOCH,Access Point,TP-link,Wirless Bridge 5GHz Mbps Long-Range PtP for Indoor/Outdoor EAP215-Bridge KIT,S/N: 225B0EU001463,-,-,-,ไม่ระบุ,-,,,
KOCH-IT-AP-26-014,KOCH,Access Point,TP-link,AX3000 Ceiling Mount Wi-Fi 6 Access Point EAP653,S/N: 22630JU004300,-,-,-,ไม่ระบุ,-,Device Key: 1132-6062-DA27-BD33-0000,,
KOCH-IT-AD-26-002,KOCH,Adapter,Acer,acer AC  adapter W21-065N2D TYPE-C,S/N: KP0650301784503A00ESHM,บางแสน,-,2026-05-25,ไม่ระบุ,-,,,
KOCH-IT-AD-26-003,KOCH,Adapter,ASUS,Asus ADP-65DWA,-,-,-,-,ไม่ระบุ,-,,,
